Source;Target;Weight
28;31;0.9312089802
28;79;0.9304544573
72;64;0.9300551646
63;31;0.9293969764
56;31;0.9293969764
40;28;0.9288428137
91;99;0.9288226454
79;61;0.9282530049
40;68;0.9280565176
28;57;0.9277420727
63;57;0.9277420727
96;67;0.9277420727
21;77;0.9272508495
40;48;0.9269805516
40;94;0.9269805516
40;62;0.9269805516
40;41;0.9269805516
70;46;0.9269805516
70;62;0.9269805516
70;41;0.9269805516
69;65;0.9269805516
27;95;0.9269805516
27;94;0.9269805516
27;41;0.9269805516
74;62;0.9269805516
74;41;0.9269805516
26;41;0.9269805516
31;41;0.9269805516
28;67;0.9269557766
63;67;0.9269557766
40;84;0.9261942555
59;65;0.9234552875
86;65;0.9234552875
40;63;0.9230894351
22;68;0.9199566068
96;61;0.9196385211
93;64;0.9183139752
93;72;0.9182932742
93;87;0.9182932742
93;48;0.9182932742
93;67;0.9182932742
18;89;0.9180064942
66;92;0.9176799472
108;106;0.9157422664
98;31;0.913804354
48;31;0.912965962
96;33;0.9126049496
81;79;0.911796229
70;30;0.911390023
63;65;0.9106976382
38;83;0.910616118
63;46;0.9105992508
36;17;0.9105728622
96;43;0.909879609
38;79;0.9098298219
28;49;0.909515377
31;94;0.9087106002
28;74;0.908227537
28;83;0.908227537
96;68;0.9071174373
63;32;0.9070570532
15;41;0.9066093313
72;79;0.905540642
91;61;0.9055345011
107;15;0.9051584093
106;64;0.9051584093
106;62;0.9051584093
28;81;0.9044920828
107;65;0.904386825
40;71;0.9039817347
38;71;0.9039817347
49;74;0.9039817347
49;83;0.9039817347
49;62;0.9039817347
49;41;0.9039817347
27;71;0.9039817347
55;62;0.9039817347
55;41;0.9039817347
72;83;0.9037961213
38;95;0.9036664625
40;105;0.903600081
63;105;0.903600081
74;105;0.903600081
36;30;0.903575579
38;54;0.9035143269
49;68;0.9031954386
49;79;0.9031954386
49;61;0.9031954386
15;106;0.9028564794
28;72;0.902081745
97;41;0.9019401162
93;94;0.9000233228
27;31;0.8999177159
96;18;0.8992692152
72;103;0.8990318084
57;103;0.8982107006
89;94;0.8980315379
89;41;0.8980315379
23;62;0.8980315379
23;41;0.8980315379
40;72;0.8978215432
22;94;0.8978215432
22;41;0.8978215432
40;93;0.8970352471
40;67;0.8970352471
96;89;0.8966329517
93;31;0.8946753095
48;79;0.8945857488
63;106;0.8943687239
56;106;0.8943687239
28;87;0.8942962791
25;41;0.8942156596
32;48;0.8942156596
32;74;0.8942156596
32;62;0.8942156596
32;41;0.8942156596
48;74;0.8942156596
48;62;0.8942156596
48;41;0.8942156596
57;90;0.8939132783
22;33;0.8920681647
60;30;0.8917860912
46;33;0.8915719379
37;41;0.8913409601
13;41;0.8913409601
70;99;0.8912807596
26;99;0.8912807596
40;61;0.890716693
15;26;0.8905180497
98;74;0.8900366146
28;64;0.8899575855
98;71;0.8896406747
84;74;0.8895677728
84;41;0.8895677728
110;109;0.8895677728
23;85;0.8895677728
76;61;0.8895677728
62;41;0.8895677728
75;74;0.889459797
75;62;0.889459797
38;47;0.8893853873
70;97;0.8891638937
57;48;0.8890914114
57;49;0.8890914114
57;74;0.8890914114
57;83;0.8890914114
57;62;0.8890914114
22;83;0.8890914114
27;74;0.8890914114
27;64;0.8890914114
18;74;0.8890914114
18;105;0.8890914114
18;62;0.8890914114
18;52;0.8890914114
89;64;0.8890914114
89;79;0.8890914114
71;64;0.8890914114
94;62;0.8890914114
38;49;0.8888907416
75;97;0.8887814767
108;99;0.8887814767
81;99;0.8887814767
21;92;0.888739883
