a1 a2 distance
46 32 0.6475454466329893
46 68 0.4515676611669492
46 56 0.5232336226736385
46 22 0.4450142745265081
46 28 0.5128917331865825
46 67 0.493979694979814
46 30 0.49749802488319517
46 64 0.602166708086824
46 31 0.5897541748534868
46 60 0.5464105709144949
46 51 0.49260574347910807
46 59 0.6468650366681563
46 23 0.5509720891118547
46 34 0.5172785804388488
46 24 0.40892650094904537
46 20 0.4542856199688499
33 66 0.6082338582183799
33 39 0.4285210531212411
33 42 0.5529959237471908
33 53 0.44221334482282837
33 57 0.4224013316806043
33 37 0.43725841335098414
33 25 0.4804938689781624
33 52 0.5419080559683584
33 47 0.3957618601944464
33 55 0.3725915433255709
33 45 0.38394509980405267
33 65 0.38602020234449264
33 27 0.49733060760196607
33 29 0.5836996478342185
33 50 0.6030126047586085
33 38 0.5170964366350306
33 41 0.3643378339518244
33 62 0.38783058146595384
33 43 0.43499381473525467
33 26 0.47228035838151944
33 48 0.42639297055427516
33 40 0.47365367111085943
33 44 0.3795691838552255
33 36 0.469856376576325
33 61 0.5279160284593154
33 58 0.46005331754189627
33 69 0.4094713359186377
33 32 0.5443622436758687
33 68 0.5269671982304639
33 56 0.4929530989460661
33 22 0.4287055766216833
33 28 0.4281340317487441
33 67 0.4092211927807109
33 30 0.35615633505931354
33 64 0.4412650593894085
33 31 0.3994122018633025
33 60 0.34796181288735545
33 51 0.4336509878542477
33 59 0.49353541180126437
33 23 0.5851894803373988
33 34 0.47889486986366203
33 24 0.42075182708700665
33 20 0.3554539638834078
66 39 0.2938394455374527
66 42 0.3655511453342545
66 53 0.35982906997416747
66 57 0.4674513346576676
66 37 0.4626426783822267
66 25 0.491642053883396
66 52 0.5203475845708454
66 47 0.3451641617948686
66 55 0.45901791027041733
66 45 0.3084370809059382
66 65 0.3740941147182385
66 27 0.3409931000431267
66 29 0.4015569264405624
66 50 0.5049436457880664
66 38 0.4906980290585768
66 41 0.3790701585574006
66 62 0.317054247939513
66 43 0.35865798182035796
66 26 0.46199321096153234
66 48 0.4209000968284631
66 40 0.41559702251033226
66 44 0.4057160743363906
66 36 0.34680640492731707
66 61 0.3925056018286558
66 58 0.3584911398119185
66 69 0.5019313146234442
66 32 0.4433291786247465
66 68 0.5269756513880185
66 56 0.35214092290969023
66 22 0.40513900676087156
66 28 0.328522354449092
66 67 0.5047386205257116
66 30 0.38401838139341693
66 64 0.4281765415358557
66 31 0.36111758236053976
66 60 0.32724224125659057
66 51 0.4081748289424212
66 59 0.4678497472133766
66 23 0.4302931146778673
66 34 0.3978404674704043
66 24 0.4919728324672493
66 20 0.3232648770430724
39 42 0.508613320916424
39 53 0.30387433100966
39 57 0.42623571849012637
39 37 0.5231273476812492
39 25 0.38655056475806887
39 52 0.4384963846268451
39 47 0.2535163912001915
39 55 0.3712038346651547
39 45 0.32240187044688484
39 65 0.37368562572198866
39 27 0.4373507651222683
39 29 0.4940788479990436
39 50 0.5440434726280451
39 38 0.5298153152241135
39 41 0.4674314962573676
39 62 0.3939032669891422
39 43 0.4019605378000958
39 26 0.4852418287497106
39 48 0.44591442122009567
39 40 0.3790384825783394
39 44 0.40389741218696135
39 36 0.4251439741687871
39 61 0.4409958379355114
39 58 0.4893308379006534
39 69 0.48696633081421253
39 32 0.5492974238266745
39 68 0.5433100436664021
39 56 0.46090870690242774
39 22 0.4735136954171975
39 28 0.34644098251369665
39 67 0.40084742613247093
39 30 0.25420570368418416
39 64 0.48449379229941336
39 31 0.3500922635905072
39 60 0.39099395810882986
39 51 0.3728089747756948
39 59 0.4481950231028766
39 23 0.437989098657759
39 34 0.4332385761838172
39 24 0.4031268686006834
39 20 0.36372914921061883
42 53 0.48824721742054333
42 57 0.48171713994028487
42 37 0.5097652280948256
42 25 0.5450563579698149
42 52 0.573329426283505
42 47 0.41042306266522044
42 55 0.5160787245497931
42 45 0.5433120601926696
42 65 0.5416557152055902
42 27 0.3984471829551153
42 29 0.5808306426521381
42 50 0.6057453114207512
42 38 0.47670879976324965
42 41 0.32956299465322314
42 62 0.477306567260343
42 43 0.4636478085184733
42 26 0.5904485944869744
42 48 0.436428348743397
